Kematangan,r_avg,g_avg,b_avg,hijau,hitam,Berat,luas,keliling,x,y
3,65.2801984180185,65.0933771283014,17.0632325832145,0.680453143853063,0.319546856146937,190,0.0800429242119383,684,229,180
3,61.0778013104772,63.8685220729367,18.8730186500577,0.671983585942154,0.328016414057846,190,0.0810677397719651,747,215,209
3,66.363288128263,65.5650118933613,17.9562243502052,0.648172747212011,0.351827252787989,190,0.0868437290409121,719,208,222
2,73.3975238049088,77.8514525234415,28.4165521033819,0.366195818089308,0.633804181910692,380,0.110725687458082,818,205,269
2,61.3350812557919,64.3389236715413,17.9403699673558,0.693849874556427,0.306150125443573,380,0.118693494299128,819,235,244
2,64.475065674739,68.2080619881234,19.8555880825346,0.56670125168326,0.43329874831674,380,0.121526492287056,830,234,273
2,75.3335890640257,79.3604407867206,30.3224234316021,0.325731157297624,0.674268842702376,380,0.115396378269618,830,222,260
2,73.5783039306716,78.6905756731662,31.8810595612917,0.325569998968328,0.674430001031672,380,0.104016096579477,801,184,270
3,49.7663519982787,39.138413748588,19.5923756860929,0.976897423484482,0.0231025765155183,550,0.199501006036217,1119,267,384
3,51.9953984437886,41.2428897236383,21.6692977349345,0.963549771934532,0.0364502280654682,550,0.199973172367539,1118,274,355
3,63.2831540223502,53.2228083570487,19.4667244265617,0.71654057055598,0.28345942944402,550,0.193252850435949,1104,280,377
3,58.5284501120301,47.9666122652209,22.5413016182052,0.833503914137921,0.166496085862079,550,0.193969148222669,1089,258,362
3,54.4890432076532,46.4350588540391,19.0012543069576,0.872826290538691,0.127173709461309,550,0.186207914151576,1126,257,385
2,80.3562854252944,79.1406897078189,28.5409610799014,0.327448997118266,0.672551002881734,420,0.140574111334675,923,241,289
2,59.2617205704166,61.1549072606953,17.0376155287933,0.822779382980707,0.177220617019294,420,0.14391683433937,908,244,288
2,76.8321747971697,76.9723403813832,24.9611140772379,0.329612184342124,0.670387815657876,420,0.129290409121395,860,276,241
2,67.1266605335787,69.3245078196872,24.4876615256357,0.613633854645814,0.386366145354186,420,0.145808182427901,1009,316,279
2,74.4988758726778,73.8003194888179,24.7670684423466,0.415789058494064,0.584210941505936,420,0.136032193158954,892,298,238
1,71.7506991933007,79.2610860533165,30.3621765537898,0.376400407391241,0.623599592608759,410,0.1659476861167,1093,388,526
1,67.8982325153483,75.5398524442243,20.5859363649571,0.453088232692274,0.546911767307726,410,0.151632461435278,949,245,309
1,65.972279076448,74.5572013357751,20.2309045458754,0.463894574311465,0.536105425688535,410,0.149424547283702,914,301,236
1,61.8640254125121,70.8069707932586,20.1076411109689,0.567334333362746,0.432665666637254,410,0.152018779342723,1035,399,397
1,72.6024540082693,79.7488073118064,25.4157047829135,0.393495036743166,0.606504963256834,410,0.160265593561368,1064,411,384
1,62.863177524628,63.6436737341387,19.7158993588408,0.659666761259983,0.340333238740017,356,0.132351441985245,1102,407,493
1,78.805781075028,77.5008398656215,30.8580579524473,0.373845184770437,0.626154815229563,356,0.153325285043595,1121,433,478
